State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate,
Hawaii,1/4/2020,"1,825",12/28/2019,"6,813","623,074",1.09,
Hawaii,1/11/2020,"1,826",1/4/2020,"7,849","621,949",1.26,
Hawaii,1/18/2020,"1,234",1/11/2020,"6,623","621,949",1.06,
Hawaii,1/25/2020,"1,014",1/18/2020,"6,407","621,949",1.03,
Hawaii,2/1/2020,"1,135",1/25/2020,"6,070","621,949",0.98,
Hawaii,2/8/2020,"1,137",2/1/2020,"6,205","621,949",1,
Hawaii,2/15/2020,"1,199",2/8/2020,"6,121","621,949",0.98,
Hawaii,2/22/2020,"1,020",2/15/2020,"6,223","621,949",1,
Hawaii,2/29/2020,"1,049",2/22/2020,"5,951","621,949",0.96,
Hawaii,3/7/2020,"1,275",2/29/2020,"6,047","621,949",0.97,
Hawaii,3/14/2020,"1,589",3/7/2020,"6,204","621,949",1,
Hawaii,3/21/2020,"8,817",3/14/2020,"6,477","621,949",1.04,
Hawaii,3/28/2020,"48,596",3/21/2020,"10,997","621,949",1.77,
Hawaii,4/4/2020,"53,102",3/28/2020,"32,226","621,949",5.18,
Hawaii,4/11/2020,"34,717",4/4/2020,"48,305","621,474",7.77,
Hawaii,4/18/2020,"26,591",4/11/2020,"72,261","621,474",11.63,
Hawaii,4/25/2020,"22,496",4/18/2020,"68,637","621,474",11.04,
Hawaii,5/2/2020,"15,177",4/25/2020,"88,110","621,474",14.18,
Hawaii,5/9/2020,"12,329",5/2/2020,"110,922","621,474",17.85,
Hawaii,5/16/2020,"10,964",5/9/2020,"145,711","621,474",23.45,
Hawaii,5/23/2020,"9,140",5/16/2020,"128,086","621,474",20.61,
Hawaii,5/30/2020,"7,702",5/23/2020,"124,939","621,474",20.1,
Hawaii,6/6/2020,"7,338",5/30/2020,"125,568","621,474",20.2,
Hawaii,6/13/2020,"7,248",6/6/2020,"114,119","621,474",18.36,
Hawaii,6/20/2020,"7,178",6/13/2020,"132,466","621,474",21.31,
Hawaii,6/27/2020,"8,193",6/20/2020,"128,990","621,474",20.76,
Hawaii,7/4/2020,"7,648",6/27/2020,"123,633","621,474",19.89,
Hawaii,7/11/2020,"7,668",7/4/2020,"128,650","620,739",20.73,
Hawaii,7/18/2020,"7,581",7/11/2020,"130,769","620,739",21.07,
Hawaii,7/25/2020,"5,885",7/18/2020,"130,209","620,739",20.98,
Hawaii,8/1/2020,"5,049",7/25/2020,"131,338","620,739",21.16,
Hawaii,8/8/2020,"5,296",8/1/2020,"123,924","620,739",19.96,
Hawaii,8/15/2020,"5,493",8/8/2020,"123,282","620,739",19.86,
Hawaii,8/22/2020,"5,775",8/15/2020,"115,430","620,739",18.6,
Hawaii,8/29/2020,"6,748",8/22/2020,"126,112","620,739",20.32,
Hawaii,9/5/2020,"7,464",8/29/2020,"126,406","620,739",20.36,
Hawaii,9/12/2020,"7,307",9/5/2020,"123,117","620,739",19.83,
Hawaii,9/19/2020,"6,757",9/12/2020,"132,614","620,739",21.36,
Hawaii,9/26/2020,"5,682",9/19/2020,"124,618","620,739",20.08,
Hawaii,10/3/2020,"5,083",9/26/2020,"111,316","620,739",17.93,
Hawaii,10/10/2020,"4,873",10/3/2020,"92,670","621,065",14.92,
Hawaii,10/17/2020,"5,104",10/10/2020,"78,241","621,065",12.6,
Hawaii,10/24/2020,"4,906",10/17/2020,"70,501","621,065",11.35,
Hawaii,10/31/2020,"4,689",10/24/2020,"61,296","621,065",9.87,
Hawaii,11/7/2020,"4,245",10/31/2020,"51,384","621,065",8.27,
Hawaii,11/14/2020,"4,328",11/7/2020,"43,905","621,065",7.07,
Hawaii,11/21/2020,"4,229",11/14/2020,"43,998","621,065",7.08,
Hawaii,11/28/2020,"3,543",11/21/2020,"34,962","621,065",5.63,
Hawaii,12/5/2020,"4,272",11/28/2020,"40,308","621,065",6.49,
Hawaii,12/12/2020,"4,628",12/5/2020,"34,758","621,065",5.6,
Hawaii,12/19/2020,"3,974",12/12/2020,"32,169","621,065",5.18,
Hawaii,12/26/2020,"3,464",12/19/2020,"28,831","621,065",4.64,
Hawaii,1/2/2021,"3,984",12/26/2020,"29,272","621,065",4.71,
Hawaii,1/9/2021,"5,058",1/2/2021,"28,678","586,666",4.89,
Hawaii,1/16/2021,"4,502",1/9/2021,"28,192","586,666",4.81,
Hawaii,1/23/2021,"3,898",1/16/2021,"24,872","586,666",4.24,
Hawaii,1/30/2021,"3,809",1/23/2021,"24,747","586,666",4.22,
Hawaii,2/6/2021,"3,624",1/30/2021,"23,814","586,666",4.06,
Hawaii,2/13/2021,"3,875",2/6/2021,"22,201","586,666",3.78,
Hawaii,2/20/2021,"2,846",2/13/2021,"20,593","586,666",3.51,
Hawaii,2/27/2021,"2,669",2/20/2021,"21,179","586,666",3.61,
Hawaii,3/6/2021,"2,471",2/27/2021,"18,579","586,666",3.17,
Hawaii,3/13/2021,"2,663",3/6/2021,"19,034","586,666",3.24,
Hawaii,3/20/2021,"3,287",3/13/2021,"18,620","586,666",3.17,
Hawaii,3/27/2021,"5,598",3/20/2021,"15,844","586,666",2.7,
Hawaii,4/3/2021,"4,587",3/27/2021,"16,831","586,666",2.87,
Hawaii,4/10/2021,"3,939",4/3/2021,"17,980","553,315",3.25,
Hawaii,4/17/2021,"3,598",4/10/2021,"17,611","553,315",3.18,
Hawaii,4/24/2021,"3,205",4/17/2021,"17,837","553,315",3.22,
Hawaii,5/1/2021,"2,794",4/24/2021,"17,442","553,315",3.15,
Hawaii,5/8/2021,"2,777",5/1/2021,"17,168","553,315",3.1,
Hawaii,5/15/2021,"2,543",5/8/2021,"16,805","553,315",3.04,
Hawaii,5/22/2021,"2,391",5/15/2021,"16,956","553,315",3.06,
Hawaii,5/29/2021,"2,175",5/22/2021,"15,900","553,315",2.87,
Hawaii,6/5/2021,"2,020",5/29/2021,"15,580","553,315",2.82,
Hawaii,6/12/2021,"2,043",6/5/2021,"14,513","553,315",2.62,
Hawaii,6/19/2021,"2,215",6/12/2021,"15,553","553,315",2.81,
Hawaii,6/26/2021,"1,846",6/19/2021,"14,034","553,315",2.54,
Hawaii,7/3/2021,"2,318",6/26/2021,"14,493","553,315",2.62,
Hawaii,7/10/2021,"2,966",7/3/2021,"13,176","524,437",2.51,
Hawaii,7/17/2021,"2,738",7/10/2021,"13,945","524,437",2.66,
Hawaii,7/24/2021,"2,639",7/17/2021,"14,399","524,437",2.75,
Hawaii,7/31/2021,"1,945",7/24/2021,"13,578","524,437",2.59,
Hawaii,8/7/2021,"2,150",7/31/2021,"13,511","524,437",2.58,
Hawaii,8/14/2021,"2,093",8/7/2021,"13,147","524,437",2.51,
Hawaii,8/21/2021,"2,018",8/14/2021,"12,728","524,437",2.43,
Hawaii,8/28/2021,"2,206",8/21/2021,"13,645","524,437",2.6,
Hawaii,9/4/2021,"2,390",8/28/2021,"13,736","524,437",2.62,
Hawaii,9/11/2021,"2,051",9/4/2021,"12,994","524,437",2.48,
Hawaii,9/18/2021,"3,526",9/11/2021,"14,276","524,437",2.72,
Hawaii,9/25/2021,"3,986",9/18/2021,"15,642","524,437",2.98,
Hawaii,10/2/2021,"2,383",9/25/2021,"14,995","524,437",2.86,
Hawaii,10/9/2021,"2,261",10/2/2021,"15,021","499,376",3.01,
Hawaii,10/16/2021,"1,814",10/9/2021,"12,896","499,376",2.58,
Hawaii,10/23/2021,"1,863",10/16/2021,"13,990","499,376",2.8,
Hawaii,10/30/2021,"1,701",10/23/2021,"11,802","499,376",2.36,
Hawaii,11/6/2021,"1,654",10/30/2021,"12,551","499,376",2.51,
Idaho,1/4/2020,"2,957",12/28/2019,"8,854","722,812",1.22,
Idaho,1/11/2020,"2,131",1/4/2020,"11,483","727,996",1.58,
Idaho,1/18/2020,"2,172",1/11/2020,"11,931","727,996",1.64,
Idaho,1/25/2020,"1,821",1/18/2020,"11,833","727,996",1.63,
Idaho,2/1/2020,"1,446",1/25/2020,"11,337","727,996",1.56,
Idaho,2/8/2020,"1,443",2/1/2020,"11,389","727,996",1.56,
Idaho,2/15/2020,"1,356",2/8/2020,"11,334","727,996",1.56,
Idaho,2/22/2020,"1,114",2/15/2020,"11,275","727,996",1.55,
Idaho,2/29/2020,998,2/22/2020,"10,587","727,996",1.45,
Idaho,3/7/2020,938,2/29/2020,"10,167","727,996",1.4,
Idaho,3/14/2020,"1,031",3/7/2020,"9,336","727,996",1.28,
Idaho,3/21/2020,"13,586",3/14/2020,"7,869","727,996",1.08,
Idaho,3/28/2020,"32,941",3/21/2020,"15,523","727,996",2.13,
Idaho,4/4/2020,"30,904",3/28/2020,"35,915","727,996",4.93,
Idaho,4/11/2020,"18,531",4/4/2020,"59,139","733,499",8.06,
Idaho,4/18/2020,"13,023",4/11/2020,"67,722","733,499",9.23,
Idaho,4/25/2020,"8,827",4/18/2020,"71,416","733,499",9.74,
Idaho,5/2/2020,"7,495",4/25/2020,"71,794","733,499",9.79,
Idaho,5/9/2020,"5,795",5/2/2020,"65,478","733,499",8.93,
Idaho,5/16/2020,"5,800",5/9/2020,"60,121","733,499",8.2,
Idaho,5/23/2020,"4,727",5/16/2020,"56,692","733,499",7.73,
Idaho,5/30/2020,"3,646",5/23/2020,"51,035","733,499",6.96,
Idaho,6/6/2020,"3,953",5/30/2020,"47,779","733,499",6.51,
Idaho,6/13/2020,"3,631",6/6/2020,"36,764","733,499",5.01,
Idaho,6/20/2020,"4,285",6/13/2020,"33,060","733,499",4.51,
Idaho,6/27/2020,"5,417",6/20/2020,"30,886","733,499",4.21,
Idaho,7/4/2020,"4,924",6/27/2020,"29,090","733,499",3.97,
Idaho,7/11/2020,"5,458",7/4/2020,"28,766","739,094",3.89,
Idaho,7/18/2020,"5,687",7/11/2020,"27,622","739,094",3.74,
Idaho,7/25/2020,"4,703",7/18/2020,"26,445","739,094",3.58,
Idaho,8/1/2020,"3,607",7/25/2020,"25,369","739,094",3.43,
Idaho,8/8/2020,"3,250",8/1/2020,"20,263","739,094",2.74,
Idaho,8/15/2020,"3,644",8/8/2020,"18,772","739,094",2.54,
Idaho,8/22/2020,"3,794",8/15/2020,"16,414","739,094",2.22,
Idaho,8/29/2020,"3,686",8/22/2020,"14,423","739,094",1.95,
Idaho,9/5/2020,"3,804",8/29/2020,"13,021","739,094",1.76,
Idaho,9/12/2020,"3,672",9/5/2020,"11,510","739,094",1.56,
Idaho,9/19/2020,"3,437",9/12/2020,"10,708","739,094",1.45,
Idaho,9/26/2020,"2,995",9/19/2020,"9,895","739,094",1.34,
Idaho,10/3/2020,"2,955",9/26/2020,"9,144","739,094",1.24,
Idaho,10/10/2020,"3,519",10/3/2020,"8,386","744,780",1.13,
Idaho,10/17/2020,"3,293",10/10/2020,"8,215","744,780",1.1,
Idaho,10/24/2020,"3,863",10/17/2020,"8,024","744,780",1.08,
Idaho,10/31/2020,"3,919",10/24/2020,"8,124","744,780",1.09,
Idaho,11/7/2020,"5,030",10/31/2020,"7,960","744,780",1.07,
Idaho,11/14/2020,"5,060",11/7/2020,"8,310","744,780",1.12,
Idaho,11/21/2020,"4,732",11/14/2020,"8,793","744,780",1.18,
Idaho,11/28/2020,"3,991",11/21/2020,"9,245","744,780",1.24,
Idaho,12/5/2020,"5,075",11/28/2020,"10,549","744,780",1.42,
Idaho,12/12/2020,"4,083",12/5/2020,"10,630","744,780",1.43,
Idaho,12/19/2020,"3,956",12/12/2020,"11,225","744,780",1.51,
Idaho,12/26/2020,"4,226",12/19/2020,"11,706","744,780",1.57,
Idaho,1/2/2021,"4,612",12/26/2020,"13,338","744,780",1.79,
Idaho,1/9/2021,"4,685",1/2/2021,"14,390","735,456",1.96,
Idaho,1/16/2021,"3,714",1/9/2021,"13,864","735,456",1.89,
Idaho,1/23/2021,"4,289",1/16/2021,"14,228","735,456",1.93,
Idaho,1/30/2021,"4,859",1/23/2021,"14,627","735,456",1.99,
Idaho,2/6/2021,"6,457",1/30/2021,"14,846","735,456",2.02,
Idaho,2/13/2021,"11,221",2/6/2021,"15,074","735,456",2.05,
Idaho,2/20/2021,"6,110",2/13/2021,"15,363","735,456",2.09,
Idaho,2/27/2021,"5,013",2/20/2021,"15,307","735,456",2.08,
Idaho,3/6/2021,"4,198",2/27/2021,"13,968","735,456",1.9,
Idaho,3/13/2021,"3,683",3/6/2021,"12,838","735,456",1.75,
Idaho,3/20/2021,"4,047",3/13/2021,"11,407","735,456",1.55,
Idaho,3/27/2021,"5,983",3/20/2021,"10,784","735,456",1.47,
Idaho,4/3/2021,"5,223",3/27/2021,"11,497","735,456",1.56,
Idaho,4/10/2021,"6,229",4/3/2021,"10,612","733,801",1.45,
Idaho,4/17/2021,"4,484",4/10/2021,"10,141","733,801",1.38,
Idaho,4/24/2021,"3,393",4/17/2021,"9,411","733,801",1.28,
Idaho,5/1/2021,"3,392",4/24/2021,"9,680","733,801",1.32,
Idaho,5/8/2021,"2,330",5/1/2021,"8,113","733,801",1.11,
Idaho,5/15/2021,"2,024",5/8/2021,"7,429","733,801",1.01,
Idaho,5/22/2021,"1,888",5/15/2021,"7,021","733,801",0.96,
Idaho,5/29/2021,"1,655",5/22/2021,"6,704","733,801",0.91,
Idaho,6/5/2021,"1,339",5/29/2021,"6,458","733,801",0.88,
Idaho,6/12/2021,"1,369",6/5/2021,"6,294","733,801",0.86,
Idaho,6/19/2021,"1,265",6/12/2021,"6,125","733,801",0.83,
Idaho,6/26/2021,"1,203",6/19/2021,"5,825","733,801",0.79,
Idaho,7/3/2021,"1,431",6/26/2021,"5,848","733,801",0.8,
Idaho,7/10/2021,"1,504",7/3/2021,"5,507","734,905",0.75,
Idaho,7/17/2021,"1,163",7/10/2021,"5,210","734,905",0.71,
Idaho,7/24/2021,"1,057",7/17/2021,"4,950","734,905",0.67,
Idaho,7/31/2021,936,7/24/2021,"4,781","734,905",0.65,
Idaho,8/7/2021,"1,039",7/31/2021,"4,453","734,905",0.61,
Idaho,8/14/2021,"1,033",8/7/2021,"4,304","734,905",0.59,
Idaho,8/21/2021,980,8/14/2021,"4,246","734,905",0.58,
Idaho,8/28/2021,866,8/21/2021,"3,901","734,905",0.53,
Idaho,9/4/2021,867,8/28/2021,"3,647","734,905",0.5,
Idaho,9/11/2021,805,9/4/2021,"3,328","734,905",0.45,
Idaho,9/18/2021,854,9/11/2021,"3,142","734,905",0.43,
Idaho,9/25/2021,818,9/18/2021,"2,969","734,905",0.4,
Idaho,10/2/2021,831,9/25/2021,"2,963","734,905",0.4,
Idaho,10/9/2021,949,10/2/2021,"2,805","737,447",0.38,
Idaho,10/16/2021,819,10/9/2021,"2,863","737,447",0.39,
Idaho,10/23/2021,922,10/16/2021,"2,837","737,447",0.38,
Idaho,10/30/2021,"1,036",10/23/2021,"3,028","737,447",0.41,
Idaho,11/6/2021,"1,120",10/30/2021,"3,217","737,447",0.44,
Illinois,1/4/2020,"11,779",12/28/2019,"125,348","5,902,475",2.12,
Illinois,1/11/2020,"12,703",1/4/2020,"136,523","5,910,898",2.31,
Illinois,1/18/2020,"14,807",1/11/2020,"133,967","5,910,898",2.27,
Illinois,1/25/2020,"9,762",1/18/2020,"131,469","5,910,898",2.22,
Illinois,2/1/2020,"9,343",1/25/2020,"143,239","5,910,898",2.42,
Illinois,2/8/2020,"9,794",2/1/2020,"130,900","5,910,898",2.21,
Illinois,2/15/2020,"8,045",2/8/2020,"133,765","5,910,898",2.26,
Illinois,2/22/2020,"11,812",2/15/2020,"131,171","5,910,898",2.22,
Illinois,2/29/2020,"8,980",2/22/2020,"132,123","5,910,898",2.24,
Illinois,3/7/2020,"8,727",2/29/2020,"136,396","5,910,898",2.31,
Illinois,3/14/2020,"11,305",3/7/2020,"130,293","5,910,898",2.2,
Illinois,3/21/2020,"126,716",3/14/2020,"125,422","5,910,898",2.12,
Illinois,3/28/2020,"185,575",3/21/2020,"132,058","5,910,898",2.23,
Illinois,4/4/2020,"202,157",3/28/2020,"263,018","5,910,898",4.45,
Illinois,4/11/2020,"140,787",4/4/2020,"452,826","5,914,575",7.66,
Illinois,4/18/2020,"118,996",4/11/2020,"569,200","5,914,575",9.62,
Illinois,4/25/2020,"101,322",4/18/2020,"681,002","5,914,575",11.51,
Illinois,5/2/2020,"74,476",4/25/2020,"695,971","5,914,575",11.77,
Illinois,5/9/2020,"72,671",5/2/2020,"755,912","5,914,575",12.78,
Illinois,5/16/2020,"72,780",5/9/2020,"733,542","5,914,575",12.4,
Illinois,5/23/2020,"58,263",5/16/2020,"762,367","5,914,575",12.89,
Illinois,5/30/2020,"46,385",5/23/2020,"719,779","5,914,575",12.17,
Illinois,6/6/2020,"44,606",5/30/2020,"741,738","5,914,575",12.54,
Illinois,6/13/2020,"44,694",6/6/2020,"710,279","5,914,575",12.01,
Illinois,6/20/2020,"46,276",6/13/2020,"705,839","5,914,575",11.93,
Illinois,6/27/2020,"45,752",6/20/2020,"676,722","5,914,575",11.44,
Illinois,7/4/2020,"39,015",6/27/2020,"667,460","5,914,575",11.29,
Illinois,7/11/2020,"38,261",7/4/2020,"664,763","5,917,347",11.23,
Illinois,7/18/2020,"36,435",7/11/2020,"655,951","5,917,347",11.09,
Illinois,7/25/2020,"33,230",7/18/2020,"648,727","5,917,347",10.96,
Illinois,8/1/2020,"25,274",7/25/2020,"631,032","5,917,347",10.66,
Illinois,8/8/2020,"22,934",8/1/2020,"617,131","5,917,347",10.43,
Illinois,8/15/2020,"22,406",8/8/2020,"604,288","5,917,347",10.21,
Illinois,8/22/2020,"26,262",8/15/2020,"593,305","5,917,347",10.03,
Illinois,8/29/2020,"26,194",8/22/2020,"558,651","5,917,347",9.44,
Illinois,9/5/2020,"25,478",8/29/2020,"552,436","5,917,347",9.34,
Illinois,9/12/2020,"27,384",9/5/2020,"507,880","5,917,347",8.58,
Illinois,9/19/2020,"25,976",9/12/2020,"536,818","5,917,347",9.07,
Illinois,9/26/2020,"29,390",9/19/2020,"502,314","5,917,347",8.49,
Illinois,10/3/2020,"36,267",9/26/2020,"483,981","5,917,347",8.18,
Illinois,10/10/2020,"47,528",10/3/2020,"447,060","5,919,664",7.55,
Illinois,10/17/2020,"46,948",10/10/2020,"402,230","5,919,664",6.79,
Illinois,10/24/2020,"53,138",10/17/2020,"379,952","5,919,664",6.42,
Illinois,10/31/2020,"73,515",10/24/2020,"342,745","5,919,664",5.79,
Illinois,11/7/2020,"67,381",10/31/2020,"334,962","5,919,644",5.66,
Illinois,11/14/2020,"46,800",11/7/2020,"346,574","5,919,644",5.85,
Illinois,11/21/2020,"65,596",11/14/2020,"333,669","5,919,644",5.64,
Illinois,11/28/2020,"74,131",11/21/2020,"298,570","5,919,644",5.04,
Illinois,12/5/2020,"107,616",11/28/2020,"334,287","5,919,644",5.65,
Illinois,12/12/2020,"138,359",12/5/2020,"330,384","5,919,644",5.58,
Illinois,12/19/2020,"145,054",12/12/2020,"338,024","5,919,644",5.71,
Illinois,12/26/2020,"110,486",12/19/2020,"327,644","5,919,644",5.53,
Illinois,1/2/2021,"45,387",12/26/2020,"330,503","5,919,644",5.58,
Illinois,1/9/2021,"94,944",1/2/2021,"349,645","5,729,741",6.1,
Illinois,1/16/2021,"95,472",1/9/2021,"315,325","5,729,741",5.5,
Illinois,1/23/2021,"95,481",1/16/2021,"328,857","5,729,741",5.74,
Illinois,1/30/2021,"40,008",1/23/2021,"313,539","5,729,741",5.47,
Illinois,2/6/2021,"34,259",1/30/2021,"292,788","5,729,741",5.11,
Illinois,2/13/2021,"62,369",2/6/2021,"274,676","5,729,741",4.79,
Illinois,2/20/2021,"68,383",2/13/2021,"268,922","5,729,741",4.69,
Illinois,2/27/2021,"68,111",2/20/2021,"260,091","5,729,741",4.54,
Illinois,3/6/2021,"57,483",2/27/2021,"249,256","5,729,741",4.35,
Illinois,3/13/2021,"71,175",3/6/2021,"243,921","5,729,741",4.26,
Illinois,3/20/2021,"15,595",3/13/2021,"224,298","5,729,741",3.91,
Illinois,3/27/2021,"14,189",3/20/2021,"215,164","5,729,741",3.76,
Illinois,4/3/2021,"16,182",3/27/2021,"246,449","5,729,741",4.3,
Illinois,4/10/2021,"18,986",4/3/2021,"236,986","5,601,548",4.23,
Illinois,4/17/2021,"15,248",4/10/2021,"239,827","5,601,548",4.28,
Illinois,4/24/2021,"17,141",4/17/2021,"230,735","5,601,548",4.12,
Illinois,5/1/2021,"15,134",4/24/2021,"227,832","5,601,548",4.07,
Illinois,5/8/2021,"18,355",5/1/2021,"216,176","5,601,548",3.86,
Illinois,5/15/2021,"17,530",5/8/2021,"208,885","5,601,548",3.73,
Illinois,5/22/2021,"19,218",5/15/2021,"200,064","5,601,548",3.57,
Illinois,5/29/2021,"23,516",5/22/2021,"202,005","5,601,548",3.61,
Illinois,6/5/2021,"29,231",5/29/2021,"194,632","5,601,548",3.47,
Illinois,6/12/2021,"28,079",6/5/2021,"202,222","5,601,548",3.61,
Illinois,6/19/2021,"23,317",6/12/2021,"198,886","5,601,548",3.55,
Illinois,6/26/2021,"20,460",6/19/2021,"203,686","5,601,548",3.64,
Illinois,7/3/2021,"20,464",6/26/2021,"194,937","5,601,548",3.48,
Illinois,7/10/2021,"22,004",7/3/2021,"203,297","5,490,277",3.7,
Illinois,7/17/2021,"25,919",7/10/2021,"204,032","5,490,277",3.72,
Illinois,7/24/2021,"18,859",7/17/2021,"201,993","5,490,277",3.68,
Illinois,7/31/2021,"20,019",7/24/2021,"209,578","5,490,277",3.82,
Illinois,8/7/2021,"21,449",7/31/2021,"196,250","5,490,277",3.57,
Illinois,8/14/2021,"18,426",8/7/2021,"204,418","5,490,277",3.72,
Illinois,8/21/2021,"22,258",8/14/2021,"187,107","5,490,277",3.41,
Illinois,8/28/2021,"15,546",8/21/2021,"179,071","5,490,277",3.26,
Illinois,9/4/2021,"15,570",8/28/2021,"172,292","5,490,277",3.14,
Illinois,9/11/2021,"8,089",9/4/2021,"151,876","5,490,277",2.77,
Illinois,9/18/2021,"9,366",9/11/2021,"147,341","5,490,277",2.68,
Illinois,9/25/2021,"8,292",9/18/2021,"228,889","5,490,277",4.17,
Illinois,10/2/2021,"6,927",9/25/2021,"240,584","5,490,277",4.38,
Illinois,10/9/2021,"6,902",10/2/2021,"189,085","5,391,602",3.51,
Illinois,10/16/2021,"7,414",10/9/2021,"146,419","5,391,602",2.72,
Illinois,10/23/2021,"7,719",10/16/2021,"150,920","5,391,602",2.8,
Illinois,10/30/2021,"8,472",10/23/2021,"121,182","5,391,602",2.25,
Illinois,11/6/2021,"10,365",10/30/2021,"132,796","5,391,602",2.46,
Indiana,1/4/2020,"4,434",12/28/2019,"20,062","3,034,091",0.66,
Indiana,1/11/2020,"4,890",1/4/2020,"21,524","3,039,304",0.71,
Indiana,1/18/2020,"3,741",1/11/2020,"21,626","3,039,304",0.71,
Indiana,1/25/2020,"2,956",1/18/2020,"21,366","3,039,304",0.7,
Indiana,2/1/2020,"3,016",1/25/2020,"22,017","3,039,304",0.72,
Indiana,2/8/2020,"2,725",2/1/2020,"22,212","3,039,304",0.73,
Indiana,2/15/2020,"2,556",2/8/2020,"22,352","3,039,304",0.74,
Indiana,2/22/2020,"2,979",2/15/2020,"22,913","3,039,304",0.75,
Indiana,2/29/2020,"2,276",2/22/2020,"22,994","3,039,304",0.76,
Indiana,3/7/2020,"2,223",2/29/2020,"22,586","3,039,304",0.74,
Indiana,3/14/2020,"2,596",3/7/2020,"21,473","3,039,304",0.71,
Indiana,3/21/2020,"59,755",3/14/2020,"20,778","3,039,304",0.68,
Indiana,3/28/2020,"139,174",3/21/2020,"28,987","3,039,304",0.95,
Indiana,4/4/2020,"127,010",3/28/2020,"71,737","3,039,304",2.36,
Indiana,4/11/2020,"113,755",4/4/2020,"147,583","3,041,986",4.85,
Indiana,4/18/2020,"72,756",4/11/2020,"206,386","3,041,986",6.78,
Indiana,4/25/2020,"55,774",4/18/2020,"253,929","3,041,986",8.35,
Indiana,5/2/2020,"42,290",4/25/2020,"271,248","3,041,986",8.92,
Indiana,5/9/2020,"29,668",5/2/2020,"285,460","3,041,986",9.38,
Indiana,5/16/2020,"29,436",5/9/2020,"270,385","3,041,986",8.89,
Indiana,5/23/2020,"25,523",5/16/2020,"253,536","3,041,986",8.33,
Indiana,5/30/2020,"22,914",5/23/2020,"233,869","3,041,986",7.69,
Indiana,6/6/2020,"22,931",5/30/2020,"221,056","3,041,986",7.27,
Indiana,6/13/2020,"24,017",6/6/2020,"211,255","3,041,986",6.94,
Indiana,6/20/2020,"29,331",6/13/2020,"201,242","3,041,986",6.62,
Indiana,6/27/2020,"44,827",6/20/2020,"191,288","3,041,986",6.29,
Indiana,7/4/2020,"22,102",6/27/2020,"183,968","3,041,986",6.05,
Indiana,7/11/2020,"28,360",7/4/2020,"190,169","3,046,268",6.24,
Indiana,7/18/2020,"17,911",7/11/2020,"190,854","3,046,268",6.27,
Indiana,7/25/2020,"20,129",7/18/2020,"228,226","3,046,268",7.49,
Indiana,8/1/2020,"12,551",7/25/2020,"223,895","3,046,268",7.35,
Indiana,8/8/2020,"10,624",8/1/2020,"199,336","3,046,268",6.54,
Indiana,8/15/2020,"11,569",8/8/2020,"183,083","3,046,268",6.01,
Indiana,8/22/2020,"10,597",8/15/2020,"170,341","3,046,268",5.59,
Indiana,8/29/2020,"10,779",8/22/2020,"164,569","3,046,268",5.4,
Indiana,9/5/2020,"11,255",8/29/2020,"158,742","3,046,268",5.21,
Indiana,9/12/2020,"13,245",9/5/2020,"164,615","3,046,268",5.4,
Indiana,9/19/2020,"11,702",9/12/2020,"161,143","3,046,268",5.29,
Indiana,9/26/2020,"10,209",9/19/2020,"150,463","3,046,268",4.94,
Indiana,10/3/2020,"10,076",9/26/2020,"129,538","3,046,268",4.25,
Indiana,10/10/2020,"17,916",10/3/2020,"118,930","3,034,402",3.92,
Indiana,10/17/2020,"15,421",10/10/2020,"113,496","3,034,402",3.74,
Indiana,10/24/2020,"13,407",10/17/2020,"103,977","3,034,402",3.43,
Indiana,10/31/2020,"13,413",10/24/2020,"96,385","3,034,402",3.18,
Indiana,11/7/2020,"14,111",10/31/2020,"87,474","3,034,402",2.88,
Indiana,11/14/2020,"15,422",11/7/2020,"81,938","3,034,402",2.7,
Indiana,11/21/2020,"18,829",11/14/2020,"84,966","3,034,402",2.8,
Indiana,11/28/2020,"20,575",11/21/2020,"78,674","3,034,402",2.59,
Indiana,12/5/2020,"23,622",11/28/2020,"84,790","3,034,402",2.79,
Indiana,12/12/2020,"15,702",12/5/2020,"78,703","3,034,402",2.59,
Indiana,12/19/2020,"12,234",12/12/2020,"73,506","3,034,402",2.42,
Indiana,12/26/2020,"12,013",12/19/2020,"73,868","3,034,402",2.43,
Indiana,1/2/2021,"14,796",12/26/2020,"80,503","3,034,402",2.65,
Indiana,1/9/2021,"17,724",1/2/2021,"93,981","2,948,676",3.19,
Indiana,1/16/2021,"14,255",1/9/2021,"91,907","2,948,676",3.12,
Indiana,1/23/2021,"13,354",1/16/2021,"95,058","2,948,676",3.22,
Indiana,1/30/2021,"12,539",1/23/2021,"81,870","2,948,676",2.78,
Indiana,2/6/2021,"13,508",1/30/2021,"79,295","2,948,676",2.69,
Indiana,2/13/2021,"12,287",2/6/2021,"77,782","2,948,676",2.64,
Indiana,2/20/2021,"9,735",2/13/2021,"73,668","2,948,676",2.5,
Indiana,2/27/2021,"10,081",2/20/2021,"72,770","2,948,676",2.47,
Indiana,3/6/2021,"9,237",2/27/2021,"69,343","2,948,676",2.35,
Indiana,3/13/2021,"13,965",3/6/2021,"65,352","2,948,676",2.22,
Indiana,3/20/2021,"13,045",3/13/2021,"59,186","2,948,676",2.01,
Indiana,3/27/2021,"9,260",3/20/2021,"58,181","2,948,676",1.97,
Indiana,4/3/2021,"8,071",3/27/2021,"55,558","2,948,676",1.88,
