Date,Country,Province,Employed,Avg Employed Rate,Population,Unemployed,Avg Unemployed Rate,Monthly new case,Number of Applications,Total Gross Amount
6/1/2021,Canada,Manitoba,647,62,"1,050",53,8,"5,083","61,600","61,600"
6/1/2021,Canada,New Brunswick,359,55,650,37,9,122,"27,430","27,430"
6/1/2021,Canada,Newfoundland and Labrador,220,49,445,33,13,75,"20,510","20,510"
6/1/2021,Canada,Nova Scotia,458,56,820,45,9,269,"48,100","48,100"
6/1/2021,Canada,Ontario,"7,301",59,"12,324",669,8,"13,438","1,060,870","1,060,870"
6/1/2021,Canada,Prince Edward Island,78,58,134,11,13,3,"4,950","4,950"
6/1/2021,Canada,Quebec,"4,292",61,"7,094",287,6,"4,538","312,720","312,720"
6/1/2021,Canada,Saskatchewan,557,63,889,40,7,"2,106","51,670","51,670"
7/1/2021,Canada,Alberta,"2,234",63,"3,541",208,9,"2,548","372,440","355,050"
7/1/2021,Canada,British Columbia,"2,655",61,"4,347",188,7,"2,428","373,920","355,160"
7/1/2021,Canada,Manitoba,655,62,"1,051",42,6,"1,453","81,550","78,100"
7/1/2021,Canada,New Brunswick,356,55,650,37,9,33,"37,700","35,670"
7/1/2021,Canada,Newfoundland and Labrador,219,49,445,32,13,51,"27,340","25,850"
7/1/2021,Canada,Nova Scotia,461,56,821,42,8,51,"60,140","57,170"
7/1/2021,Canada,Ontario,"7,373",60,"12,339",642,8,"5,539","1,400,930","1,330,110"
7/1/2021,Canada,Prince Edward Island,79,59,134,8,10,1,"6,620","6,260"
7/1/2021,Canada,Quebec,"4,299",61,"7,098",280,6,"2,440","426,070","404,070"
7/1/2021,Canada,Saskatchewan,552,62,889,42,7,"1,170","71,670","68,590"
8/1/2021,Canada,Alberta,"2,253",64,"3,546",193,8,"18,395","101,720","82,190"
8/1/2021,Canada,British Columbia,"2,670",61,"4,358",176,6,"16,019","100,820","80,420"
8/1/2021,Canada,Manitoba,654,62,"1,052",40,6,"1,090","22,390","18,390"
8/1/2021,Canada,New Brunswick,356,55,651,37,9,398,"10,850","8,550"
8/1/2021,Canada,Newfoundland and Labrador,221,50,445,31,12,41,"7,730","6,070"
8/1/2021,Canada,Nova Scotia,465,57,822,40,8,144,"16,910","13,620"
8/1/2021,Canada,Ontario,"7,426",60,"12,355",608,8,"15,114","377,040","300,100"
8/1/2021,Canada,Prince Edward Island,79,59,135,9,11,25,"1,840","1,440"
8/1/2021,Canada,Quebec,"4,288",60,"7,103",265,6,"11,927","119,250","94,600"
8/1/2021,Canada,Saskatchewan,562,63,890,42,7,"4,343","20,100","16,470"
9/1/2021,Canada,Alberta,"2,273",64,"3,550",201,8,"45,242",,
9/1/2021,Canada,British Columbia,"2,682",61,"4,367",169,6,"20,912",,
9/1/2021,Canada,Manitoba,661,63,"1,052",39,6,"1,833",,
9/1/2021,Canada,New Brunswick,362,56,652,37,9,"1,424",,
9/1/2021,Canada,Newfoundland and Labrador,221,50,445,33,13,269,,
9/1/2021,Canada,Nova Scotia,467,57,824,41,8,607,,
9/1/2021,Canada,Ontario,"7,500",61,"12,368",592,7,"20,599",,
9/1/2021,Canada,Prince Edward Island,80,59,135,10,11,66,,
9/1/2021,Canada,Quebec,"4,319",61,"7,107",262,6,"20,956",,
9/1/2021,Canada,Saskatchewan,568,64,890,38,6,"12,972",,
10/1/2021,Canada,Alberta,"2,264",64,"3,556",186,8,"25,685",,
10/1/2021,Canada,British Columbia,"2,692",62,"4,376",160,6,"18,972",,
10/1/2021,Canada,Manitoba,658,63,"1,053",37,5,"3,049",,
10/1/2021,Canada,New Brunswick,365,56,653,36,9,"2,258",,
10/1/2021,Canada,Newfoundland and Labrador,220,49,446,35,14,245,,
10/1/2021,Canada,Nova Scotia,467,57,825,42,8,716,,
10/1/2021,Canada,Ontario,"7,537",61,"12,384",568,7,"13,806",,
10/1/2021,Canada,Prince Edward Island,80,59,136,8,9,18,,
10/1/2021,Canada,Quebec,"4,319",61,"7,112",256,6,"15,780",,
10/1/2021,Canada,Saskatchewan,561,63,890,37,6,"10,325",,
